cache_flooding_calculix.csv-30720;
-30718;-30718;
-30718;85;
-30718;56;
-30718;85;
-30718;50;
-30718;77;
-30718;77;
-30718;66;
-30718;66;
-30718;50;
-30718;7;
-30718;7;
-30718;41;
-30718;52;
-30718;35;
-30718;80;
-30718;25;
-30718;70;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;13;
-30718;66;
-30718;66;
-30718;66;
-30718;66;
-30718;66;
-30718;87;
-30718;87;
-30718;32;
-30718;35;
-30718;57;
-30718;15;
-30718;81;
-30718;17;
-30718;8;
-30718;90;
-30718;90;
1000;90;
1000;90;
1000;90;
1000;90;
1000;90;
1000;81;
1000;81;
1000;81;
1000;81;
1000;81;
1000;81;
1000;81;
1000;81;
1000;81;
1000;81;
1000;81;
1000;81;
1000;57;
1000;57;
1000;57;
1000;57;
1000;28;
1000;27;
1000;74;
1000;13;
1000;13;
1000;14;
1000;23;
1000;80;
1000;80;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;37;
1000;57;
1000;57;
1000;57;
1000;57;
1000;57;
1000;37;
1000;56;
1000;84;
1000;9;
1000;28;
1000;37;
1000;43;
1000;43;
1000;43;
1000;66;
1000;66;
1000;91;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;85;
1000;6;
1000;57;
1000;25;
1000;31;
1000;19;
1000;65;
1000;87;
1000;8;
1000;55;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;83;
1000;1;
1000;1;
1000;16;
1000;13;
1000;16;
1000;72;
1000;19;
1000;75;
1000;22;
1000;22;
1000;22;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;50;
1000;79;
1000;8;
1000;30;
1000;18;
1000;18;
1000;18;
1000;18;
12;27;
12;3;
12;3;
12;3;
12;75;
12;75;
12;75;
12;75;
12;75;
12;75;
12;75;
12;30;
12;30;
12;30;
12;30;
12;30;
12;30;
12;30;
12;30;
12;30;
12;30;
12;30;
12;30;
12;69;
12;69;
12;69;
12;67;
12;53;
12;61;
12;10;
12;23;
12;42;
12;10;
12;80;
12;52;
12;52;
12;52;
12;58;
12;58;
12;58;
12;58;
12;58;
12;58;
12;58;
12;58;
12;58;
12;58;
12;58;
12;58;
12;58;
12;58;
13;58;
13;71;
13;71;
13;71;
13;29;
13;69;
13;31;
13;56;
13;15;
13;20;
13;71;
13;22;
13;6;
13;92;
13;88;
13;88;
13;88;
13;88;
13;88;
13;88;
13;88;
13;88;
13;88;
13;70;
13;70;
13;70;
13;70;
13;60;
13;60;
13;80;
13;80;
13;80;
13;80;
13;80;
13;80;
13;90;
13;5;
13;13;
13;87;
13;66;
13;27;
13;27;
13;18;
13;55;
13;77;
13;77;
13;60;
13;60;
13;60;
13;60;
13;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;50;
16;50;
16;41;
16;41;
16;59;
16;91;
16;40;
16;31;
16;25;
16;20;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;60;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;5;
16;23;
16;17;
16;17;
16;22;
16;30;
16;23;
16;33;
16;50;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;80;
16;80;
16;80;
16;3;
16;92;
16;32;
16;80;
16;26;
16;31;
16;27;
16;27;
16;10;
16;10;
16;10;
16;85;
16;81;
16;81;
16;81;
16;81;
16;81;
16;81;
16;81;
16;81;
16;81;
16;81;
16;81;
16;81;
16;81;
16;81;
17;81;
17;81;
17;81;
17;81;
17;81;
17;81;
17;79;
17;5;
17;26;
17;13;
17;21;
17;84;
17;18;
17;14;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;12;
17;6;
17;64;
17;20;
17;20;
17;36;
17;20;
17;13;
17;68;
17;19;
17;88;
17;88;
17;41;
17;41;
17;41;
17;41;
13;36;
13;36;
13;36;
13;36;
13;36;
13;36;
13;36;
13;36;
13;36;
13;76;
13;76;
13;76;
13;76;
13;76;
13;76;
13;76;
13;90;
13;63;
13;11;
13;70;
13;42;
13;42;
13;87;
13;13;
13;6;
13;6;
13;6;
13;80;
13;80;
13;80;
13;80;
13;80;
13;80;
13;80;
13;80;
13;80;
13;80;
13;66;
13;66;
13;66;
13;66;
13;66;
13;66;
13;66;
13;66;
13;66;
13;66;
13;66;
13;66;
13;50;
13;50;
14;14;
14;19;
14;16;
14;36;
14;15;
14;70;
14;70;
14;60;
14;60;
14;60;
14;60;
14;60;
14;60;
14;60;
14;60;
14;60;
14;60;
14;60;
14;77;
14;77;
14;77;
14;77;
14;77;
14;77;
14;77;
14;77;
14;77;
14;13;
14;13;
14;30;
14;19;
14;69;
14;20;
14;18;
14;18;
14;5;
14;5;
14;5;
14;5;
14;5;
14;5;
14;5;
14;5;
14;5;
14;5;
14;5;
14;5;
14;5;
14;90;
14;90;
14;90;
13;90;
13;90;
13;90;
13;90;
13;90;
13;90;
13;90;
13;88;
13;5;
13;40;
13;13;
13;54;
13;83;
13;83;
13;29;
13;80;
13;83;
13;64;
13;64;
13;64;
13;64;
13;64;
13;64;
13;64;
13;64;
13;64;
13;64;
13;76;
13;76;
13;76;
13;76;
13;76;
13;76;
13;76;
13;63;
13;63;
13;63;
13;35;
13;65;
13;37;
13;50;
13;22;
13;21;
13;38;
13;38;
13;36;
13;36;
13;36;
13;36;
13;36;
13;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;36;
15;6;
15;13;
15;27;
15;24;
15;71;
15;38;
15;20;
15;6;
15;14;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;77;
15;13;
15;13;
15;13;
12;57;
12;27;
12;60;
12;56;
12;14;
12;28;
12;28;
12;80;
12;57;
12;57;
12;57;
12;57;
12;75;
12;75;
12;75;
12;75;
12;75;
12;75;
12;75;
12;75;
12;75;
12;75;
12;75;
12;75;
12;81;
12;81;
12;81;
12;66;
12;83;
12;68;
12;48;
12;48;
12;18;
12;90;
12;33;
12;23;
12;3;
12;3;
12;3;
12;85;
12;85;
12;85;
12;85;
12;85;
12;85;
12;85;
12;85;
12;85;
12;85;
12;85;
12;85;
15;85;
15;85;
15;85;
15;78;
15;78;
15;78;
15;78;
15;78;
15;78;
15;82;
15;33;
15;26;
15;20;
15;60;
15;28;
15;28;
15;69;
15;66;
15;80;
15;72;
15;72;
15;72;
15;72;
15;72;
15;72;
15;72;
15;72;
15;72;
15;72;
15;72;
15;72;
15;72;
15;72;
15;87;
15;60;
15;60;
15;60;
15;60;
15;60;
15;16;
15;76;
15;17;
15;18;
15;23;
15;17;
15;24;
15;17;
15;4;
15;4;
15;66;
15;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;66;
16;5;
16;92;
16;19;
16;63;
16;21;
16;28;
16;12;
16;33;
16;33;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;40;
16;60;
16;60;
16;60;
16;35;
16;35;
15;19;
15;56;
15;24;
15;30;
15;34;
15;22;
15;10;
15;10;
15;90;
15;90;
15;90;
15;90;
15;90;
15;90;
15;90;
